Preguntas,Categoría,Respuesta Mejorada, 
¿Dónde puedo ver las correlatividades de Profesorado en Matemática?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Profesorado en Física?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Dónde puedo ver las correlatividades de Analista en Computación?,Información General,"📌 *Correlatividades* 

Para ver las correlatividades de tu carrera, seguí estos pasos:

1️⃣ Entrá a https://www.famaf.unc.edu.ar/academica/grado/.
2️⃣ Buscá tu carrera en la lista.
3️⃣ Dentro de la sección *Características de la Carrera*, fijate en *Régimen de Correlatividades*. 

Ahí vas a encontrar toda la info que necesitás. 😊",
¿Cuándo son las encuestas a los profesores?,Cursado,"📅 *Plazos para las encuestas a profesores*:

* *Primer cuatrimestre* (excepto anuales): Del *10/06* al *31/07*.
* *Segundo cuatrimestre* o *anuales*: Del *10/11* al *31/12*.

¡No te olvides!",
¿Cómo completar las encuestas a los profesores?,Cursado,"📌 *Encuestas de Profesores* 

Para completar las encuestas tenes que:
* Entrá al sistema Guaraní.
* Hacé clic en *Reportes* > *Encuestas pendientes*.
* Completá *todas las encuestas* que aparezcan hasta que no quede ninguna. 

Si tenés dudas, podes escribir a despachoestudiantes@famaf.unc.edu.ar. 😊",
¿Cómo completar las encuestas de las materias?,Cursado,"📌 *Encuestas de las Materias* 

Para completar las encuestas tenes que:
* Entrá al sistema Guaraní.
* Hacé clic en *Reportes* > *Encuestas pendientes*.
* Completá *todas las encuestas* que aparezcan hasta que no quede ninguna. 

Si tenés dudas, podes escribir a despachoestudiantes@famaf.unc.edu.ar. 😊",
¿Puedo rendir el examen final de una materia sin haberla cursado?,Exámenes,"Podés *rendir el final de una materia sin haberla cursado*, pero tenés que:
1. Tener todas las *correlatividades aprobadas*.
2. Inscribirte al final como *libre*.",
¿Cómo me inscribo a la próxima colación?,Egreso,"📌 *Inscripción a la colación*

Para inscribirte a la próxima colación seguí los pasos detallados en este documento: 🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing.

Una vez que termines el circuito de egreso, te mandamos un email confirmando tu inscripción con el *Certificado Analítico y de Título en trámite*.

💬 Para dudas sobre este trámite podés escribirle a nfigueroa@unc.edu.ar",
¿Cómo obtengo el título intermedio?,Egreso,"📌 *Obtener el título intermedio*

Podés seguir los pasos en este documento para obtener el título: 
🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing.

Una vez que finalices el circuito de egreso, te llegará un email confirmando tu inscripción a la colación con el certificado de *Título en trámite*.

Para dudas sobre este trámite podes escribirle a nfigueroa@unc.edu.ar",
¿Cómo obtengo mi título de Analista en Computación?,Egreso,"📌 *Obtener el título intermedio*

Podés seguir los pasos en este documento para obtener el título: 
🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing.

Una vez que finalices el circuito de egreso, te llegará un email confirmando tu inscripción a la colación con el certificado de *Título en trámite*.

Para dudas sobre este trámite podes escribirle a nfigueroa@unc.edu.ar",
¿Cómo obtengo el título de la Tecnicatura Universitaria en Matemática Aplicada?,Egreso,"📌 *Obtener el título intermedio*

Podés seguir los pasos en este documento para obtener el título: 
🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing.

Una vez que finalices el circuito de egreso, te llegará un email confirmando tu inscripción a la colación con el certificado de *Título en trámite*.

Para dudas sobre este trámite podes escribirle a nfigueroa@unc.edu.ar",
¿Cómo obtengo el título de la Tecnicatura Universitaria en Astronomía?,Egreso,"📌 *Obtener el título intermedio*

Podés seguir los pasos en este documento para obtener el título: 
🔗 https://drive.google.com/file/d/1pkY8i3dxU-Muz6KZUNN8CnrkxaXulGgZ/view?usp=sharing.

Una vez que finalices el circuito de egreso, te llegará un email confirmando tu inscripción a la colación con el certificado de *Título en trámite*.

Para dudas sobre este trámite podes escribirle a nfigueroa@unc.edu.ar",
¿Qué debo hacer con mi recibo de haberes en el Área de Personal y Sueldos?,Personal y Sueldos,"Los *Recibos de haberes*: te lo mandan desde la SGI de la UNC y *tenés que*: 
1️⃣ Retirarlo en el Área de Personal y Sueldos. 
2️⃣ Firmarlo. 
3️⃣ Guardar el cuerpo del recibo (donde dice los montos que te pagaron). ",
¿Existe un portal para descargar recibos de haberes?,Personal y Sueldos,"Podés descargar tus recibos de haberes en el *portal del empleado de la UNC*:  🔗 https://empleados.unc.edu.ar/autogestion/.
 
⚠️ *Importante*: por ahora, los recibos tienen código QR, pero *no firma electrónica*, por lo tanto *no sirven para certificar haberes ante organismos oficiales*.",
¿Qué ocurre si un agente fallece y no tiene los últimos recibos firmados?,Personal y Sueldos,"Si un agente fallece y no tiene los últimos *3 recibos de haberes* firmados, los beneficiarios *no podrán cobrar el seguro de vida*.",
¿Qué es el impuesto a las ganancias para los empleados?,Personal y Sueldos,"El *Impuesto a las Ganancias* es un tributo que aplica a quienes tienen ingresos. En el caso de la UNC, esta actúa como *agente de retención* para empleados que están alcanzados por el impuesto de *cuarta categoría*.",
¿Quién administra las retenciones del impuesto a las ganancias en la UNC?,Personal y Sueldos,"*La *Secretaría de Gestión Institucional* de la UNC maneja las retenciones del impuesto a las ganancias en la UNC, a través del *Área de Retenciones Impositivas*.

Podés contactarlos para cualquier consulta o asesoramiento.",
¿Qué normativa regula las licencias docentes?,Personal y Sueldos,"La normativa que regula las licencias docentes es la *Resolución 1222/2014* del HCS.

Esta incluye actividades académicas, científicas y de investigación.",
¿Cómo se solicita una licencia docente para actividades en el exterior?,Personal y Sueldos,"🌍 *Licencia docente para actividades en el exterior* 

Si necesitás una licencia para irte al exterior, tenés que enviar un formulario en Excel por correo al área de *Personal y Sueldos* para gestionar *la cobertura de asistencia internacional*.

✉️ El correo es personalysueldos@famaf.unc.edu.ar.",
¿Cómo solicitan licencias los agentes nodocentes?,Personal y Sueldos,"Como *agentes nodocente* podés pedir una licencia ingresando al sistema de memos de FAMAF con tu usuario y contraseña (los da el área).

⚠️ *Importante:* recordá solicitarla con anticipación.",
¿Qué es la Licencia Anual Ordinaria para nodocentes?,Personal y Sueldos,La *Licencia Anual Ordinaria para nodocentes* es tu *descanso anual* con goce de sueldo y la duración de la misma depende de tu *antigüedad*.,
¿Cuánto dura la Licencia Anual Ordinaria para nodocentes?,Personal y Sueldos,La *Licencia Anual Ordinaria para nodocentes* es tu *descanso anual* con goce de sueldo y la duración de la misma depende de tu *antigüedad*.,
¿Cuántos días de licencia por paternidad corresponden a nodocentes?,Personal y Sueldos,"👶 *Licencia por paternidad para nodocentes*

Si sos nodocente, tenés *15 días hábiles* de licencia por paternidad con sueldo completo. Solo tenés que presentar la documentación que respalde el nacimiento o adopción.",
¿Cuál es la duración de la licencia por maternidad?,Personal y Sueldos,"👶 *Licencia por maternidad*

 Lalicencia por maternidad con goce de sueldo es de *180 días*, que se dividen en:
 * *45 días* antes del parto.
* *135 días* después.

⚠️ *Importante:* si el embarazo es de *alto riesgo*, se puede extender el período antes del parto.",
¿Qué requisitos deben cumplir los certificados médicos?,Personal y Sueldos,"Los *certificados médicos* deben ser legibles y contener:
* Membrete del profesional
* Nombre y DNI del paciente
* Fecha de emisión
* Diagnóstico claro
* Período de reposo
* Firma y sello del profesional",
¿Cómo se valida un certificado médico emitido en el exterior?,Personal y Sueldos,"Para validar un *certificado médico* emitido en el exterior *debe estar firmado por el consulado argentino del país donde fue emitido* y en caso de ser necesario, también debe estar *acompañalo con una traducción al castellano*.",
¿Puedo rendir libre el curso de nivelación?,Ingreso,"*Es posible rendir libre el curso de nivelación*, primero tenés que hacer la *inscripción definitiva* y cuando llegue la fecha del examen, inscribite para rendir la Nivelación desde Guaraní en la sección *Inscripción a Exámenes*.",
¿Puedo rendir libre el cursillo?,Ingreso,"*Es posible rendir libre el curso de nivelación*, primero tenés que hacer la *inscripción definitiva* y cuando llegue la fecha del examen, inscribite para rendir la Nivelación desde Guaraní en la sección *Inscripción a Exámenes*.",
¿Puedo rendir libre el curso de ingreso?,Ingreso,"*Es posible rendir libre el curso de nivelación*, primero tenés que hacer la *inscripción definitiva* y cuando llegue la fecha del examen, inscribite para rendir la Nivelación desde Guaraní en la sección *Inscripción a Exámenes*.",
"Realice un trámite y no me llega el email de confirmación, ¿por qué?",Información General,"😕 *¿No te llegó el email de confirmación?* 

Estamos trabajando para agilizar el envío de los correos.

*Recordá que este proceso puede tardar una semana o más*.

Gracias por tu paciencia 🙏.",
"Me da error al realizar un trámite, ¿Que hago?",Información General,"Lamento mucho que tengas un error en tu trámite. Para resolverlo te sugiero escribir a los correos de la FAMAF según tu consulta:

📧 *Preinscripciones/inscripciones*: despachoestudiantes@famaf.unc.edu.ar
📧 *Cuentas @unc o @mi.unc*: usuarios.unc@famaf.unc.edu.ar
📧 *Becas/tutorías/Régimen Especial*: sae@famaf.unc.edu.ar
📧 *Diplomas/certificados/actas*: nfigueroa@unc.edu.ar

⚠️ *Importante:* explicá el error, el trámite y poné tu nombre y apellido. Así te pueden ayudar!",
"Me olvidé de inscribirme y se me pasó la fecha, ¿Hay algo que se pueda hacer?",Información General,"Si se te pasó la fecha de inscripción, podés ir personalmente al despacho de la FAMAF, ahí podrán evaluar si se puede hacer la inscripción fuera de plazo.

¡No te quedes con la duda!",
¿Cuándo tengo que inscribirme a un examen?,Exámenes,"📅 *Inscripción a exámenes*:

Están abiertas desde el *sábado 14 de febrero a las 9:00 hs* hasta *3 días hábiles antes* del examen.

👉 *¿Qué significa ""3 días hábiles""?*: No se cuentan ni sábados, ni domingos, ni feriados. Por ejemplo, si rendís un lunes, el último día para anotarte suele ser el miércoles anterior. ¡No te dejes estar!

Las inscripciones se realizan a través del sistema Guaraní. En caso de que no encuentres la materia o si es una *Especialidad, Optativa, Materia Vocacional o para Estudiante Regular Internacional*, usá este formulario: 🔗 https://forms.gle/VccEhhg5BVnDU85H9",
"No me puedo inscribir al examen del curso de nivelación, ¿Que hago?",Ingreso,"Si no podés inscribirte al examen del curso de nivelación, contactá a tu profesora por el *Aula Virtual*.",
Necesito un certificado papel y/o digital de asistencia a examen.,Exámenes,"📌 *Certificado de asistencia a examen*: 

Pasos para obtener tu certificado: 
1️⃣ Pasá por *despacho de alumnos* antes del examen y pedí la hoja. 
2️⃣ En el examen, pedile al profesor que la firme. 
3️⃣ Lleva de vuelta la hoja a *despacho de alumnos* para que te la sellen. 

¡Listo! Así obtenes tu certificado. ",
¿Cuándo abren las inscripciones a las materias?,Cursado,"Las fechas de inscripción son:

📅 *Inscripciones 1er cuatrimestre*:
* *1er año*: del 04/03 al 14/03.
* *Materias del resto de los años*: del 02/03 al 13/03/2026.

📅 *Inscripciones 2do cuatrimestre*:
* Del 03/08 al 14/08.

Si necesitás algo más, avisame 😊",
¿Cuándo comienzan las clases de las materias de grado y posgrado?,Cursado,"📅 *Primer cuatrimestre 2026*
Las clases de grado y posgrado empiezan el *9 de marzo* y terminan el *19 de junio*.

📅 *Segundo cuatrimestre 2026*
Las clases de grado y posgrado empiezan el *10 de agosto* y terminan el *19 de noviembre*.",
¿Cuál es el correo de Despacho de Estudiantes?,Información General,"📩 *Correo del Despacho de Estudiantes*: despachoestudiantes@famaf.unc.edu.ar

Si necesitás ayuda, ¡escribiles! 😊",
¿Cuál es el correo de la Oficialía?,Información General,"📩 *Correo de la Oficialía*: nigueroa@unc.edu.ar

Si necesitás algo, mandales un mail. 😊",
¿A qué correo me puedo comunicar para consultar sobre el ingreso?,Información General,"📩 *Correo para consultas de ingreso*: ingreso@famaf.unc.edu.ar

Si tenés dudas sobre el proceso, mandales un mail. ¡Estamos para ayudarte! 😊",
¿Cuál es el correo de la Secretaría de Posgrado?,Información General,"📩 Si necesitás contactar a la Secretaría de Posgrado, escribiles a *posgrado@famaf.unc.edu.ar*. 
¡Ahí te van a ayudar con todo lo que necesites! 😊",
¿Dónde puedo consultar las Optativas de Computación?,Cursado,"📚 *Optativas de Computación 2026*:
* *Computación y Sociedad* - Blanco, Javier Oscar.
* *Electrónica para Laboratorios Experimentales de Investigación* - Peretti, Gabriela Marta y Romero, Eduardo Abel.
* *Introducción a la Didáctica de Computación e Inteligencia Artificial* - Acosta, Araceli Natalia.
* *Introducción al Análisis de Series Temporales* - Flesia, Ana Georgina.
* *Sistemas de Tiempo Real* - Laprovitta, Agustín Miguel.

📌 Siempre podes consultarlas en la distribución docente del correspondiente año:
🔗 https://share.google/qoDQXEpip0M9MOHmy (año 2026)",
¿Qué materias pueden hacerse como Especialidad II de Astronomía?,Cursado,"📚 *Materias de Especialidad II de Astronomía 2026*:
* *Cúmulos Globulares*: Laboratorios Cósmicos de la Evolución Estelar (Muriel, Hernán).
* *Elementos de Espectroscopía Astronómica*: con red de difracción (Weidmann, Walter Alfredo).
* *Estructura en Gran Escala del Universo* (Abadi, Mario Gabriel).
* *Medio Interestelar, Galaxias Starburst y Núcleos Activos de Galaxias* (Gunthardt, Guillermo Iván).
* *Radio Astronomía Galáctica y Extragaláctica* (Varlotto, Carlos Alberto).

📌 Siempre podes consultarlas en la distribución docente del correspondiente año:
🔗 https://share.google/qoDQXEpip0M9MOHmy (año 2026)",
¿Qué materias pueden hacerse como Especialidad II de Física?,Cursado,"📚 *Materias de Especialidad II de Física 2026*:
* *Electrónica para Laboratorios Experimentales de Investigación* - Peretti, Gabriela Marta y Romero, Eduardo Abel.
* *Física Computacional* - Banchio, Adolfo Javier y Marconi, Verónica Iris.
* *Imágenes por Resonancia Magnética* - Acosta, Rodolfo Héctor.
* *Introducción a la Información Cuántica* - Majtey, Ana Paula.
* *Introducción a la Radiobiología* - Valente, Mauro Andrés.
* *Relatividad Numérica* - Carrasco, Federico León y Gallo, Emanuel.
* *Segunda Cuantización* - Osenda, Omar.
* *Sistemas de Tiempo Real* - Laprovitta, Agustín Miguel.

📌 Siempre podes consultarlas en la distribución docente del correspondiente año:
🔗 https://share.google/qoDQXEpip0M9MOHmy (año 2026)",
¿Qué materias pueden hacerse como Especialidad I de Matemática?,Cursado,"📚 *Materias de Especialidad I de Matemática 2026*

* *Espacios de Lebesgue Variables Pesados y Teoría de Extrapolación* con Vallejos, Lucas Alejandro.
* *Geometría Algebraica* con Sulca, Diego Armando.
* *Introducción a las álgebras de Lie y sus Representaciones* con Cagliero, Leandro Roberto.
* *Teoría de Modelos* con Badano, Mariana Vanessa.

📌 Siempre podes consultarlas en la distribución docente del correspondiente año:
🔗 https://share.google/qoDQXEpip0M9MOHmy (año 2026)",
¿Qué materias pueden hacerse como Optativa II de Matemática Aplicada?,Cursado,"📚 *Materias de Optativa II de Matemática Aplicada 2026* :
* *Introducción al Análisis de Series Temporales* (dictada por Ana Georgina Flesia). 

📌 Siempre podes consultarlas en la distribución docente del correspondiente año:
🔗 https://share.google/qoDQXEpip0M9MOHmy (año 2026)",
¿Cómo hago para obtener un casillero en FAMAF?,Información General,"📌 *Casilleros de FAMAF* 

Las inscripciones están abiertas desde el *2 de marzo* hasta el *13 de marzo* a las 14:00 hs.

📝 *Formulario de Inscripción*: https://tinyurl.com/2545b9xh 

* Los resultados estarán el *25 de marzo* y los nuevos casilleros se asignan desde el *4 de abril*.
* Como *requisito* tenés que *estar inscripto en al menos una materia*. 

⚠️ *Importante*: 
* Entre el *25 de marzo* y el *3 de abril*, tenés que pasar por la SAE para confirmar. Si no lo hacés, perdés el casillero o el lugar en la lista de espera.
* Si te dan un casillero, llevá tu propio candado y firmá el acuerdo de responsabilidad en la SAE.",
¿Cuales son los requisitos para solicitar una mesa especial de examen?,Exámenes,"📌 *Requisito para mesa especial de examen*:

Para pedir una mesa especial de examen tienen que faltarte *solo dos materias* para egresar (incluyendo el Trabajo Especial). Además, si sos de Analista o Profesorado, se cuentan las materias comunes.

📅 *Plazo*: Podés pedir la fecha hasta el *31/03/2026*.",
¿Cómo es el procedimiento para solicitar una mesa especial de examen?,Exámenes,"📌 *Cómo pedir una mesa especial de examen*

Para pedir una mesa especial, tenés que:
1️⃣ Adeudar *solo dos materias* para egresar (incluyendo el Trabajo Especial). Si sos de Analista o Profesorado, se cuentan las materias comunes.
2️⃣ Enviá una *nota firmada por vos y el docente* de la materia, *al menos una semana antes* de la fecha que querés rendir. Acá hay un modelo para la nota que podes usar para guiarte: 🔗 https://drive.google.com/file/d/1nandgoClw138jBfMujEdwmc9MyJIJtkL.

⚠️ *Importante:* 
* Si la fecha especial es para el Trabajo Especial, el procedimiento es otro.
* Si otro estudiante ya se inscribió para esa materia en la época que pedís, *rinden el mismo día* (solo hay una mesa por época).
",
¿La Tecnicatura Universitaria en Matemática Aplicada tiene modalidad presencial? ,Ingreso,"Los títulos intermedios son *presenciales*, como así también todas las carreras de grado de FAMAF. Solo el *curso de nivelación* se puede hacer a distancia.

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La Tecnicatura Universitaria en Matemática Aplicada es a distancia (online)? ,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La Tecnicatura Universitaria en Astronomía tiene modalidad presencial? ,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La Tecnicatura Universitaria en Astronomía es a distancia (online)? ,Ingreso,"Los títulos intermedios son *presenciales*, como así también todas las carreras de grado de FAMAF. Solo el *curso de nivelación* se puede hacer a distancia.

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Física es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Física es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Astronomía es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Astronomía es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Matemática es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Matemática es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Matemática Aplicada es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Matemática Aplicada es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Ciencias de la Computación es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Ciencias de la Computación es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Hidrometeorología es presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera Licenciatura en Hidrometeorología es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera de Profesorado en Física tiene modalidad presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera de Profesorado en Física es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera de Profesorado en Matemática tiene modalidad presencial?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿La carrera de Profesorado en Matemática es a distancia (online)?,Ingreso,"Todas las carreras de grado de FAMAF tienen modalidad *presencial*. Solo el *curso de nivelación* se puede cursar a distancia. 

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿Se puede cursar Analista en Computación a distancia (online)?,Ingreso,"Los títulos intermedios son *presenciales*, como así también todas las carreras de grado de FAMAF. Solo el *curso de nivelación* se puede hacer a distancia.

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿Analista en Computación tiene modalidad presencial?,Ingreso,"Los títulos intermedios son *presenciales*, como así también todas las carreras de grado de FAMAF. Solo el *curso de nivelación* se puede hacer a distancia.

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿Hay alguna carrera que se dicte a distancia?,Ingreso,"Los títulos intermedios son *presenciales*, como así también todas las carreras de grado de FAMAF. Solo el *curso de nivelación* se puede hacer a distancia.

Si necesitas que te diga las modalidades del Curso de Nivelación, ¡Avisame! 😊",
¿El cursillo de ingreso es eliminatorio?,Ingreso,"El curso de nivelación *no es eliminatorio*, pero si cuenta como una *materia más* de la carrera.

Esto significa que es la *primera correlativa*: necesitás tenerlo aprobado para poder seguir avanzando con el resto de las materias. 📚",
¿El Curso de Nivelación es eliminatorio?,Ingreso,"El curso de nivelación *no es eliminatorio*, pero si cuenta como una *materia más* de la carrera.

Esto significa que es la *primera correlativa*: necesitás tenerlo aprobado para poder seguir avanzando con el resto de las materias. 📚",
¿El Ingreso es eliminatorio?,Ingreso,"El curso de nivelación *no es eliminatorio*, pero si cuenta como una *materia más* de la carrera.

Esto significa que es la *primera correlativa*: necesitás tenerlo aprobado para poder seguir avanzando con el resto de las materias. 📚",
¿Cómo hago la reinscripción anual a la propuesta en la que estoy?,Cursado,"📌 *Reinscripción anual* 📌

Para reinscribirte, seguí estos pasos:

1️⃣ Entrá a Guaraní.
2️⃣ Buscá el botón naranja que dice *Reinscribirse* en la pantalla de inicio.

¡Listo!",
"Ya realicé la preinscripción, ¿Qué es lo siguiente que debo hacer?",Ingreso,"Si ya realizaste la inscripción y tenés el comprobante. Ahora solo falta: *venir a clases* y *realizar la inscripción definitiva* en la fecha que corresponde. 

¡Cualquier duda, avisame! 😊",
¿Cuánto dura la regularidad de una materia?,Cursado,La regularidad de una materia dura *2 años* y un *turno de examen*.,
¿Me puedo inscribir a una materia como oyente?,Cursado,"Cursar como oyente te permite *cursar una materia sin inscribirte en toda la carrera*.

Para inscribirte como *alumno vocacional* (oyente), seguí este instructivo: 🔗 https://docs.google.com/document/d/1-hWXC3_v-rpXJdCudmUgQmSXCHofVRgFERWc_j7YOwg/edit?tab=t.0",
¿Qué sucede si repruebo el curso de nivelación?,Ingreso,"El curso de nivelación es como cualquier otra materia, así que no te preocupes 😊. Podés volver a rendirlo en cualquier fechas de examen final. 

Incluso, si querés, podés empezar a cursar las materias de tu carrera como *libre* hasta que lo apruebes. 
",
¿Qué sucede si repruebo el cursillo de ingreso?,Ingreso,"El curso de nivelación es como cualquier otra materia, así que no te preocupes 😊. Podés volver a rendirlo en cualquier fechas de examen final. 

Incluso, si querés, podés empezar a cursar las materias de tu carrera como *libre* hasta que lo apruebes. 
",
¿Qué sucede si repruebo el ingreso?,Ingreso,"El curso de nivelación es como cualquier otra materia, así que no te preocupes 😊. Podés volver a rendirlo en cualquier fechas de examen final. 

Incluso, si querés, podés empezar a cursar las materias de tu carrera como *libre* hasta que lo apruebes. 
",
"Aún no termine los estudios secundarios y quiero hacer la preinscripción, ¿Se puede?",Ingreso,"*Podés preinscribirte aunque no hayas terminado el secundario.* Solo cuando te pidan la constancia de estudios secundarios finalizados, *subí el certificado de alumno regular* en su lugar.

¡Suerte! 😊",
Necesito información de la inscripciones a carreras para 2026.,Ingreso,"📌 *Inscripciones 2026* 📌

Si estás buscando info para inscribirte en una carrera en la FAMAF para el 2026, acá tenés todo lo que necesitas saber:

🔗 https://www.famaf.unc.edu.ar/la-facultad/institucional/secretar%C3%ADas/secretaria-academica/preinscripcion/

¿Necesitás ayuda con algo más? 😊",
Necesito información sobre la carrera Licenciatura en Matemática,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera Licenciatura en Astronomía,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera Licenciatura en Física,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
Necesito información sobre la carrera Licenciatura en Ciencias de la Computación,Ingreso,"Si querés saber todo sobre la carrera, entrá acá:
🔗 https://www.famaf.unc.edu.ar/academica/grado/

Ahí vas a encontrar
*  *Plan de estudios*
* *Correlatividades*
* *Perfil del Egresado* y demás

¡Dale una mirada y después me contás si necesitás algo más! 😊",
